Team;Result;For;Aga;Diff;Tries;Conv;Pens;Drop;Opposition;Ground;Match.Date
Scotland;won;18;12;+6;0;0;5;1;v England;Murrayfield;25 Feb 2006
Ireland;won;31;5;+26;3;2;4;0;v Wales;Lansdowne Road;26 Feb 2006
Wales;lost;5;31;-26;1;0;0;0;v Ireland;Lansdowne Road;26 Feb 2006
Italy;draw;18;18;0;2;1;2;0;v Wales;Millennium Stadium;11 Mar 2006
Wales;draw;18;18;0;2;1;2;0;v Italy;Millennium Stadium;11 Mar 2006
Ireland;won;15;9;+6;0;0;5;0;v Scotland;Lansdowne Road;11 Mar 2006
Scotland;lost;9;15;-6;0;0;3;0;v Ireland;Lansdowne Road;11 Mar 2006
England;lost;6;31;-25;0;0;2;0;v France;Stade de France;12 Mar 2006
France;won;31;6;+25;3;2;4;0;v England;Stade de France;12 Mar 2006
Italy;lost;10;13;-3;1;1;1;0;v Scotland;Rome;18 Mar 2006
Scotland;won;13;10;+3;1;1;1;1;v Italy;Rome;18 Mar 2006
France;won;21;16;+5;2;1;3;0;v Wales;Millennium Stadium;18 Mar 2006
Wales;lost;16;21;-5;1;1;3;0;v France;Millennium Stadium;18 Mar 2006
England;lost;24;28;-4;2;1;4;0;v Ireland;Twickenham;18 Mar 2006
Ireland;won;28;24;+4;3;2;3;0;v England;Twickenham;18 Mar 2006
France;won;39;3;+36;5;4;2;0;v Italy;Rome;3 Feb 2007
Italy;lost;3;39;-36;0;0;1;0;v France;Rome;3 Feb 2007
England;won;42;20;+22;4;2;5;1;v Scotland;Twickenham;3 Feb 2007
Scotland;lost;20;42;-22;2;2;2;0;v England;Twickenham;3 Feb 2007
Ireland;won;19;9;+10;3;2;0;0;v Wales;Millennium Stadium;4 Feb 2007
Wales;lost;9;19;-10;0;0;3;0;v Ireland;Millennium Stadium;4 Feb 2007
England;won;20;7;+13;1;0;5;0;v Italy;Twickenham;10 Feb 2007
Italy;lost;7;20;-13;1;1;0;0;v England;Twickenham;10 Feb 2007
Scotland;won;21;9;+12;0;0;7;0;v Wales;Murrayfield;10 Feb 2007
Wales;lost;9;21;-12;0;0;3;0;v Scotland;Murrayfield;10 Feb 2007
France;won;20;17;+3;2;2;2;0;v Ireland;Croke Park;11 Feb 2007
Ireland;lost;17;20;-3;1;0;4;0;v France;Croke Park;11 Feb 2007
Italy;won;37;17;+20;4;4;3;0;v Scotland;Murrayfield;24 Feb 2007
Scotland;lost;17;37;-20;2;2;1;0;v Italy;Murrayfield;24 Feb 2007
